Privacy Settings,Setari de confidentialitate
"%1 customer(s) has not been successfully deleted, because they have non-completed order(s)",%1 client(i) nu a(u) fost sters(i) cu succes, deoarece acestea au comenzi neIncheiate
Delete Requests,Cereri stergere cont
Deny Delete Requests,Respinge cereri stergere
An error has occurred. Please check logs for more details,A avut loc o eroare. Va rugam sa verificati jurnalele pentru mai multe detalii
%1 email(s) has been sent,%1 e-mail(uri) a(u) fost trimis(e)
Customers With Consent,Clientii cu acordul semnat
Customers were successfully added to email queue,Clientii au fost adaugati cu succes la lista
Customers Without Consent,Clientii fara consimtamant
Access denied.,Acces interzis.
Wrong Password. Please recheck it.,Parola gresita. Va rugam sa verificati din nou.
Your delete account request is awaiting for the review by the administrator.,Cererea ta de stergere se afla In asteptarea examinarii de catre administrator.
"Thank you, your account delete request was recorded.",Va multumim! Cererea de stergere a contului tau a fost Inregistrata.
We can not anonymize order,Nu putem anonimiza comanda
"We can not anonymize your account right now, because you have non-completed order(s):%1",Nu putem sa anonimizam contul chiar acum, deoarece aveti comenzi neIncheiate: 1%
"We can not anonymize your account right now, because you have active Gift Registry",Nu putem sa anonimizam contul chiar acum, deoarece aveti activ card cadou
Anonymisation was successful,Anonimazarea a avut loc cu succes
Thank you for your cooperation. Your consent was recorded.,Multumim. A fost Inregistrat consimtamantul.
Something went wrong.,Ceva n-a mers bine.
Unable to save actionLog with ID %1. Error: %2,Nu se poate salva actionLog cu ID %1. Eroare: %2
Unable to save new actionLog. Error: %1, Nu se poate salva actionLog. Eroare: %1
ActionLog with specified ID "%1" not found.,ActionLog cu ID-ul specificat "%1" nu a fost gasit.
Unable to remove actionLog with ID %1. Error: %2,Nu se poate elimina actionLog cu ID-ul %1. Eroare: %2
Unable to remove actionLog. Error: %1,Nu se poate elimina actionLog. Eroare: %1
Delete Request Submitted,Cerere de stergere trimisa
Delete Request Approved,Cerere de stergere aprobata
Data Anonymised by Customer,Datele de Client anonime
Automatic Delete,stergere automata
Customer's Request,Solicitarea clientului
Pending,In asteptare
Success,Succes
Fail,Esuat
Yes (Recommended),Da (recomandat)
No,Nu
Consent with specified ID "%1" not found.,Consimtamantul cu ID-ul specificat „%1“ nu a fost gasit.
Consent with consent code %1 not found,Consimtamantul cu codul de consimtamant %1 nu a fost gasit
Unable to remove model without id,Nu se poate elimina modelul fara id
"Unable to remove consent, message is %1",Nu se poate elimina consimtamant, mesajul este %1
Unable to save consent with ID %1. Error: %2,Nu se poate salva acordul cu ID-ul %1. Eroare: %2
Unable to save new consent. Error: %1,Nu se poate salva un nou consimtamant. Eroare: %1
"Data consistency is broken.
                    There is no entity by default store for a consent with ID %1","Consistenta datelor este stricata.
Nu exista nici o entitate de pentru un acord cu ID-ul %1"
Unable to save deleteRequest with ID %1. Error: %2,Nu se poate salva deleteRequest cu ID %1. Eroare: %2
Unable to save new deleteRequest. Error: %1,Nu se poate salva deleteRequest. Eroare: %1
DeleteRequest with specified ID "%1" not found.,DeleteRequest cu ID-ul specificat "%1" nu a fost gasit.
Unable to remove deleteRequest with ID %1. Error: %2,Nu se poate elimina deleteRequest cu ID-ul %1. Eroare: %2
Unable to remove deleteRequest. Error: %1,Nu se poate elimina deleteRequest. Eroare: %1
Disabled,Dezactivat
Enabled,Activat
Policy is active,Politica este activa
Unable to save policy with ID %1. Error: %2,Nu se poate salva politica cu ID-ul %1. Eroare: %2
Unable to save new policy. Error: %1,Nu se poate salva noua politica. Eroare: %1
Policy with specified ID "%1" not found.,Politica cu ID-ul specificat „%1“ nu a fost gasit.
Unable to remove policy with ID %1. Error: %2,Nu se poate elimina politica cu ID %1. Eroare: %2
Unable to remove policy. Error: %1,Imposibil de eliminat politica. Eroare: %1
Unable to save consentQueue with ID %1. Error: %2,Nu se poate salva consentQueue cu ID %1. Eroare: %2
Unable to save new consentQueue. Error: %1,Nu se poate salva noi consentQueue. Eroare: %1
ConsentQueue with specified ID "%1" not found.,ConsentQueue cu ID-ul specificat "%1" nu a fost gasit.
Unable to remove consentQueue with ID %1. Error: %2,Nu se poate elimina consentQueue cu ID-ul %1. Eroare: %2
Unable to remove consentQueue. Error: %1,Nu se poate elimina consentQueue. Eroare: %1
Unable to save withConsent with ID %1. Error: %2,Nu se poate salva withConsent cu ID %1. Eroare: %2
Unable to save new withConsent. Error: %1,Nu se poate salva noi withConsent. Eroare: %1
WithConsent with specified ID "%1" not found.,WithConsent cu ID-ul specificat "%1" nu a fost gasit.
Unable to remove withConsent with ID %1. Error: %2,Nu se poate elimina withConsent cu ID-ul %1. Eroare: %2
Unable to remove withConsent. Error: %1,Nu se poate elimina withConsent. Eroare: %1
GDPR Privacy policy,Politica de confidentialitate GDPR
CMS Page,Pagina CMS
All Countries,Toate tarile
EEA Countries,Tarile SEE
Specified Countries,Tarile mentionate
Accept,Accept
Decline,Declin
Privacy Checkbox,Checkbox confidentialitate
Current Password,Parola actuala
I have read and accept,Am citit si accept
GDPR,GDPR
General,General
Order Statuses,Starea comenzilor
Email Notifications,Notificari prin email
Anonymization Notifications,Notificari anonimizare
Email Sender,E-mail Expeditor
Email Reply To,Email Raspuns Catre
Email Template,Sablon e-mail
Deletion Notifications,Notificari de stergere
Send Email To,Trimiteti e-mail
Customer’s Approval Notification,Notificare privind acceptarea catre client
Customer’s Deny Notification,Notificarea clientului privind respingerea
Are you sure?,Esti sigur?
Customer ID,Numar de Inregistrare client
Customer Name,Numele clientului
IP Address,Adresa IP
Date,Data
Action,Actiune
Remote IP Address,Adresa IP
Status,Stare
Back,Inapoi
Name,Nume
Account Holder Name, Numele detinatorului contului
Account Number, Numar de cont
Account Type, Tip de cont
Add a new saved card, Adaugati un card nou
Add to the subscription price, Adaugati la pretul abonamentului
Additional Info, Informatii suplimentare
An error has occurred. Please contact us to complete your order., A avut loc o eroare. Va rugam sa ne contactati pentru a finaliza comanda.
An error occurred on the server. Please try to place the order again., A aparut o eroare pe server. Va rugam sa Incercati sa plasati comanda din nou.
Apple Pay, Apple Pay
Ask the customer, Intrebati clientul
Available Payment Options, Optiunile de plata disponibile
Buy now with Apple Pay, Cumpara acum cu Apple Pay
CVC Check, Cod CVC
Card **** %1 has been deleted., Cardul **** %1 a fost șters.
Card **** %1 was added successfully., Cardul **** %1 a fost adaugat cu succes.
Card Number, Numar card
Card Payments, Plati cu Cardul
Card Verification Number, Numarul de verificare al cardului
Could not retrieve Payment Intent for subscription, Nu au putut fi preluata intentia de plata pentru subscriere
Could not retrieve payment details. Please contact us., Nu s-a putut prelua detaliile de plata. Va rog sa ne contactati.
Could not set up customer profile, Nu s-a putut configura profilul de client
Could not set up customer profile: %1, Nu s-a putut configura profilul de client: 1%
Enter your card details:, Introduceti detaliile cardului:
Euro Only, Doar Euro
Euro and Polish Złoty Only, Doar Euro și Zlotul Polonez
Expiration Date, Data expirarii
Invalid IBAN provided., IBAN invalid
Name on Card, Numele pe card
No IBAN provided., Nr IBAN furnizat.
Or use a card below, Sau utilizati un card de mai jos
Order #%1 could not be placed: %2. Please try placing the order again., Comanda #1 %nu a putut fi plasata: %2. Va rugam sa Incercati sa plasati din nou comanda.
Order #%1 has been placed successfully, Comanda # 1 %a fost plasat cu succes
Order by %1 %2 <%3>, Comanda cu %1 %2 <%3>
Order by %1 %2, Comanda cu %1 %2
Order place error, Eroare la comanda
Order placed under manual review by Stripe Radar, Comanda plasata sub revizuire manuala (Stripe Radar)
Payment Type, Tipul de plata
Payment authentication succeeded., Autentificarea de plata a reușit.
Payment failed., Plata esuata.
Payment succeeded., Plata a reușit.
Place Order, Plasati comanda
Please agree to all Terms and Conditions before placing the order., Va rugam sa acceptati toti Termenii și conditiile inainte de a plasa comanda.
Please select your bank before placing the order, Va rugam sa selectati banca inainte de plasarea comenzii
Please select your bank, Va rugam sa selectati banca
Please update your billing address to proceed., Va rugam sa va actualizati adresa de facturare pentru a continua.
Product Page, Pagina produsului
Routing Number, Numar de rutare
SEPA Direct Debit, SEPA Direct Debit
Save Customer Cards, Salvati carduri client
Saved Cards, Carduri salvate
Shipping Cost, Cost de livrare
Something has gone wrong with your payment. Please contact us., Eroare la plata. Va rog sa ne contactati.
"Sorry, there are no available payment options"," Ne pare rau, nu exista optiuni de plata disponibile"
"Sorry, there are no available payment options."," Ne pare rau, nu exista optiuni de plata disponibile."
"Sorry, this payment method is not available in your country."," Din pacate, aceasta metoda de plata nu este disponibila in tara dumneavoastra."
"Sorry, we could not complete the checkout process. Please contact us for more help."," Ne pare rau, nu am putut finaliza procesului de plata. Va rugam sa ne contactati pentru mai mult ajutor."
The payment for this order could not be confirmed: %1., Plata pentru acest ordin nu a putut fi confirmata: 1%.
The payment was not authorized., Plata nu a fost autorizata.
The selected currency %1 is not supported for the billing country %2, Moneda selectata %1 nu este acceptata pentru tara de facturare %2
The source with ID %1 could not be retrieved from Stripe, Sursa cu ID-ul %1 nu au putut fi verificata in Stripe
The subscription has a trial period but the card requires immediate authorization. Please use a different card., Abonamentul are o perioada de proba dar cardul necesita autorizare imediata. Va rugam sa utilizati un alt card.
This card cannot be used because it requires a 3D Secure authentication by the customer., Acest card nu poate fi utilizat deoarece necesita autentificare 3D Secure.
"To complete the order, please pay <b>%1</b> by scanning the QR code below with your mobile device"," Pentru a finaliza comanda, va rugam sa platiti <b> %1 </b> prin scanarea codului QR de mai jos cu dispozitivul mobil"
Try to re-create the charge with a saved card, Incercati cu un card salvat
Unknown event type, Tipul de eveniment necunoscut
Use a new card, Utilizati un card nou
What is this?, Ce este asta?
You do not have any saved cards yet., Nu aveti inca niciun card salvate.
You must first add a full billing address before you can add saved cards., Trebuie sa adaugati mai intai o adresa de facturare completa Inainte de a putea adauga carduri salvate.
You must first set a billing address before you can use this payment method, Trebuie sa setati mai intai o adresa de facturare inainte de a putea utiliza aceasta metoda de plata
You must first set a shipping address before you can use this payment method, Trebuie sa setati mai intai o adresa de expediere inainte de a putea utiliza aceasta metoda de plata
Your Bank, Banca dvs.
Your IBAN, Contul IBAN
Your bank account has been successfully verified., Contul dvs. bancar a fost verificat cu succes.
Your business name, Numele firmei
Your card details are protected using PCI DSS v3.2 security standards., Detaliile cardului sunt protejate folosind standarde de securitate 3D Secure / PCI DSS v3.2.
Your card has been declined, Cardul tau a fost refuzat
"Your order has been canceled. The payment authorization succeeded, however the authorizing provider declined the payment with the message: %1"," Comanda dvs. a fost anulata. Autorizarea de plata a reușit, cu toate acestea, procesatorul a refuzat plata cu mesajul: %1"
Your order is pending!, Comanda dvs. este in așteptare!
Your session has expired., Sesiunea dumneavoastra a expirat.
Zip Check, Verificare cod postal
ending in, terminat in
Active,Activ
Buy,Cumpara
Cards,Carduri
Close,Inchide
Customer,Client
Disabled,Dezactivat
Donate,Doneaza
Enabled,Disponibil
Error,Eroare
Payment,Plata
Refunded,Rambursat
Save,Salveaza
Shipping,Livrare
Title,Titlu
Unpaid,Neachitat
exp,exp
expires,expira
Shipping Methods, Metode livrare
Shipping Address, Adresa livrare
Order Summary, Sumar comanda
Review & Payments, Recenzie & Plata
Instant Payment Checkout, Plata instant
Ship To, Livreaza la
Ship To:, Livreaza la:
%1 Item in Cart, %1 produs(e) in cos
My billing and shipping address are the same, Adresa de facturare si de livrare sunt identice
Save card for future purchases, Salveaza cardul pentru cumparaturi ulterioare
Apply Discount Code, Aplica cont discount
Enter discount code, Cod
Apply Discount, Aplica discount
New Address, Adresa noua
Ship here, Livreaza aici
Adding..., Se adauga
Added, Adaugat
You must login or register to add items to your wishlist., Trebuie sa fi logat pentru a adauga elemente in lista de favorite
Please type the letters and numbers below, Te rugam sa introduci numerele si literele de mai jos
You added product %1 to the <a href=""%2"">comparison list</a>., Ai adaugat produsul %1 la <a href=""%2"">lista de comparare</a>.
You added %1 to your <a href=""%2"">shopping cart</a>., Ai adaugat produsul %1 la <a href=""%2"">in cos</a>.
View Cart, Vezi cos
Go to Checkout, Mergeti la Checkout
Email address, Adresa email
You can create an account after checkout., Poti crea un cont dupa finalizarea comenzii
Country, Tara
"Sorry, no quotes are available for this order at this time", "Completeaza informatiile de livrare pentru a vedea optiunile disponibile"
The shipping method is missing. Select the shipping method and try again., Metoda de livrare lipseste. Selecteaza metoda de livrare si incearca din nou
Proceed to Checkout, Mergeti la Checkout
"Accept Cookies","Accept cookie-uri"
"Decline Cookies","Refuzați cookie-urile"
"Allow all Cookies","Permiteți toate cookie-urile"
"Custom Settings","Setări personalizate"
"Cookie Name","Nume cookie"
"Cookie Provider","Furnizor de cookie-uri"
"Cookie Description","Descriere cookie"
"Cookie Lifetime","Durata de viață a cookie-urilor"
"Cookie Type","Tip cookie"
"Done","Făcut"
"More Information","Mai multe informații"
"Close","Aproape"
"Cookie Settings","Setări cookie"
"Allow all","Permiteți totul"
"Save","Salva"
"Please select and accept your Cookies Group","Vă rugăm să selectați și să acceptați grupul dvs. de cookie-uri"
Are you sure you want to do this?,Ești sigur că vrei să faci asta?
Delete Consent,Șterge consimțământul
Personal Data,Date personale
Anonymise,Anonimizați
Are you sure you want to anonymise personal data?,Sigur doriți să anonimizați datele personale?
Download,Descărcați
Delete,Şterge
"Are you sure you want to delete personal data? (Personal data in previously created orders, invoices, shipments and credit memos will be anonymised then.)","Sigur doriți să ștergeți datele personale? (Datele personale din comenzile, facturile, expedierile și notițele de credit create anterior vor fi anonimizate atunci.)"
Clone,Clonează
Save and Continue Edit,Salvați și continuați editarea
Save,Salva
Send,Trimite
We would like to inform you that our Privacy Policy has been amended.,Dorim să vă informăm că Politica noastră de confidențialitate a fost modificată.
"Please, read and accept the new terms.",Vă rugăm să citiți și să acceptați noile condiții.
Policies text,Textul politicilor
Here you can download a copy of your personal data which we store for your order in CSV format.,Aici puteți descărca o copie a datelor dumneavoastră personale pe care le stocăm pentru comanda dumneavoastră în format CSV.
Here you can download a copy of your personal data which we store for your account in CSV format.,Aici puteți descărca o copie a datelor dumneavoastră personale pe care le stocăm pentru contul dumneavoastră în format CSV.
Download personal data,Descărcați datele personale
Merge into one file,Îmbinați într-un singur fișier
Anonymise personal data,Anonimizați datele personale
"By clicking ‘Agree and Proceed’ you agree that your personal data will be replaced with non-personal anonymous information. When you receive a new login email, your email address and all other personal data will be deleted from the website.","Făcând clic pe „De acord și continua”, sunteți de acord ca datele dumneavoastră personale să fie înlocuite cu informații anonime non-personale. Când primiți un nou e-mail de conectare, adresa dvs. de e-mail și toate celelalte date personale vor fi șterse de pe site."
I agree and I want to proceed,Sunt de acord și vreau să continui
Agree and Proceed,De acord și continua
Delete account,Ștergeți contul
"By clicking ‘Agree and Submit request‘ button you agree that all your orders, personal data and other information associated with your account or purchases will be lost. You will not be able to regain access to your account after we approve your deletion request.","Făcând clic pe butonul „De acord și trimiteți cererea”, sunteți de acord că toate comenzile, datele personale și alte informații asociate contului sau achizițiilor dumneavoastră se vor pierde. Nu veți putea recâștiga accesul la contul dvs. după ce vom aproba cererea dvs. de ștergere."
I understand and I want to delete my account,Înțeleg și vreau să-mi șterg contul
Agree and Submit request,De acord și trimiteți cererea
Given Consent,Consimțământul dat
Here you can opt in or opt out from consents that were previously given.,Aici puteți să vă înscrieți sau să renunțați la consimțământurile care au fost date anterior.
Send Email,Trimite e-mail
Action Log,Jurnal de acțiuni
Action logs was successfully removed.,Jurnalele de acțiuni au fost eliminate cu succes.
Consent Log,Jurnal de consimțământ
Consent logs was successfully removed.,Jurnalele de consimțământ au fost eliminate cu succes.
Customers Consents Email Queue,Consimțământul clienților Coada de e-mail
%1 customer(s) has been successfully added to email queue,%1 client(i) a fost adăugat cu succes la coada de e-mail
You have successfully deleted the consent,Ați șters cu succes consimțământul
We can't delete item right now. Please review the log and try again.,Nu putem șterge elementul acum. Consultați jurnalul și încercați din nou.
Edit Consent,Editați consimțământul
This consent no longer exists...,Acest consimțământ nu mai există...
New Consent,Consimțământ nou
Consent Checkboxes,Casete de selectare pentru consimțământ
An error has occurred,A apărut o eroare
You saved the consent.,Ai salvat consimțământul.
Consent with code %1 already exists.,Consimțământul cu codul %1 există deja.
Cookie Policy Consents,Consimțământul politicii cookie
"Personal data cannot be anonymised right now, because the customer has non-completed order(s): %1","Datele personale nu pot fi anonimizate acum, deoarece clientul are comenzi nefinalizate: %1"
"Personal data cannot be anonymised right now, because the customer has active Gift Registry.","Datele personale nu pot fi anonimizate în acest moment, deoarece clientul are activ Registrul de cadouri."
An error has occurred: %1,A apărut o eroare: %1
"Personal data cannot be deleted right now, because the customer has non-completed order(s): %1","Datele personale nu pot fi șterse acum, deoarece clientul are comenzi nefinalizate: %1"
"Personal data cannot be deleted right now, because the customer has active Gift Registry.","Datele personale nu pot fi șterse în acest moment, deoarece clientul are un Registrul de cadouri activ."
It is impossible to anonymize an order. Order Increment Id is not defined,Este imposibil să anonimizați o comandă. Id-ul de creștere a comenzii nu este definit
Order %1 is successfully anonymised.,Comanda %1 a fost anonimizată cu succes.
It is impossible to anonymize an order with this status type.,Este imposibil să anonimizați o comandă cu acest tip de stare.
This policy no longer exists.,Această politică nu mai există.
You deleted the policy.,Ai șters politica.
New Privacy Policy,Noua Politică de confidențialitate
Edit Privacy Policy %1,Editați politica de confidențialitate %1
Privacy Policy,Politica de confidențialitate
Please correct the data sent.,Vă rugăm să corectați datele trimise.
Something went wrong while saving the question.,A apărut o eroare la salvarea întrebării.
%1 policies(s) has been successfully deleted,Politicile %1 au fost șterse cu succes
Privacy policy with the same version already exists.,Politica de confidențialitate cu aceeași versiune există deja.
You saved the item.,Ai salvat articolul.
%1 customer(s) has been successfully deleted,%1 client(i) a fost șters cu succes
"%1 customer(s) has not been successfully deleted, because they have non-completed order(s)","%1 client(i) nu a fost șters cu succes, deoarece au comenzi nefinalizate"
Delete Requests,Ștergeți solicitările
Deny Delete Requests,Respinge cererile de ștergere
An error has occurred. Please check logs for more details,A apărut o eroare. Vă rugăm să verificați jurnalele pentru mai multe detalii
%1 email(s) has been sent,%1 e-mail(e) au fost trimise
Invalid Form Key. Please refresh the page.,Cheie de formular nevalidă. Vă rugăm să reîmprospătați pagina.
Access denied.,Acces interzis.
Wrong Password. Please recheck it.,Parolă greșită. Vă rugăm să verificați din nou.
Your delete account request is awaiting for the review by the administrator.,Solicitarea dvs. de ștergere a contului așteaptă examinarea de către administrator.
"We can not process your account deletion request right now, because you have active Gift Registry.","Nu vă putem procesa solicitarea de ștergere a contului în acest moment, deoarece aveți Registrul de cadouri activ."
"Thank you, your account delete request was recorded.","Vă mulțumim, solicitarea dvs. de ștergere a contului a fost înregistrată."
Something went wrong.,Ceva a mers prost.
"We can not anonymize your account right now, because you have non-completed order(s):%1","Nu vă putem anonimiza contul în acest moment, deoarece aveți comenzi nefinalizate:%1"
"We can not anonymize your account right now, because you have active Gift Registry","Nu vă putem anonimiza contul în acest moment, deoarece aveți un registru de cadouri activ"
We can not anonymize order,Nu putem anonimiza comanda
Anonymization was successful,Anonimizarea a avut succes
Thank you for your cooperation. Your consent was recorded.,Vă mulțumim pentru cooperare. Consimțământul dvs. a fost înregistrat.
Changes has been saved.,Modificările au fost salvate.
Invalid Policy version.,Versiune nevalidă a politicii.
Invalid Policy action.,Acțiune de politică nevalidă.
Privacy policy accepted.,Politica de confidențialitate acceptată.
Unable to save actionLog with ID %1. Error: %2,Imposibil de salvat ActionLog cu ID %1. Eroare: %2
Unable to save new actionLog. Error: %1,Nu se poate salva noul Jurnal de acțiuni. Eroare: %1
"ActionLog with specified ID ""%1"" not found.",ActionLog cu ID-ul specificat „%1” nu a fost găsit.
Unable to remove actionLog with ID %1. Error: %2,Imposibil de eliminat actionLog cu ID %1. Eroare: %2
Unable to remove actionLog. Error: %1,Imposibil de eliminat actionLog. Eroare: %1
"The ""%1"" anonymization type isn't defined. Verify the type and try again.",Tipul de anonimizare „%1” nu este definit. Verificați tipul și încercați din nou.
Delete Request Submitted,Solicitare de ștergere trimisă
Delete Request Approved,Solicitarea de ștergere a fost aprobată
Delete Request Denied,Solicitare de ștergere refuzată
Data Anonymised by Customer,Date anonimizate de către client
Data Anonymised by Admin,Date anonimizate de administrator
Data Anonymised by Guest,Date anonimizate de către invitat
Failed Data Anonymization by Guest,Anonimizarea datelor eșuată de către invitat
Failed Data Anonymization by Customer,Anonimizarea datelor eșuate de către client
Personal Data Deleted by Admin,Date personale șterse de administrator
Personal Data Downloaded by Customer,Date personale descărcate de client
Personal Data Downloaded by Guest,Date personale descărcate de oaspete
Automatic Delete,Ștergere automată
Customer's Request,Solicitarea clientului
Pending,În așteptare
Success,Succes
Fail,Eșuează
Allow,Permite
Don't Allow for Statuses,Nu permiteți stări
Don't Delete,Nu șterge
Yes (Recommended),Da (recomandat)
No,Nu
[STORE VIEW],[STORE VIEW]
"Consent with specified ID ""%1"" not found.",Consimțământul cu ID-ul specificat „%1” nu a fost găsit.
Consent with consent code %1 not found,Consimțământul cu codul de consimțământ %1 nu a fost găsit
Unable to remove model without id,Imposibil de eliminat modelul fără ID
"Unable to remove consent, message is %1","Nu se poate elimina consimțământul, mesajul este %1"
Unable to save consent with ID %1. Error: %2,Nu se poate salva consimțământul cu ID %1. Eroare: %2
Unable to save new consent. Error: %1,Nu se poate salva noul consimțământ. Eroare: %1
Data consistency is broken. There is no entity by default store for a consent with ID %1,Consecvența datelor este deteriorată. Nu există o entitate implicită pentru un consimțământ cu ID %1
Unable to save deleteRequest with ID %1. Error: %2,Nu se poate salva cererea de ștergere cu ID %1. Eroare: %2
Unable to save new deleteRequest. Error: %1,Nu se poate salva o nouă solicitare de ștergere. Eroare: %1
"DeleteRequest with specified ID ""%1"" not found.",Solicitarea de ștergere cu ID-ul specificat „%1” nu a fost găsită.
Unable to remove deleteRequest with ID %1. Error: %2,Imposibil de eliminat deleteRequest cu ID %1. Eroare: %2
Unable to remove deleteRequest. Error: %1,Imposibil de eliminat deleteRequest. Eroare: %1
Invalid guest customer session,Sesiune client invitat nevalidă
Invalid order increment ID,ID de increment de comandă nevalid
Registration,Înregistrare
Checkout,Verifică
Contact Us,Contactaţi-ne
Newsletter Subscription,Abonament la newsletter
Email,E-mail
Optional Consent at Account Privacy Settings,Consimțământ opțional la Setările de confidențialitate a contului
Draft,Proiect
Disabled,Dezactivat
Enabled,Activat
Policy is active,Politica este activă
Unable to save policy with ID %1. Error: %2,Imposibil de salvat politica cu ID-ul %1. Eroare: %2
Unable to save new policy. Error: %1,Imposibil de salvat noua politică. Eroare: %1
"Policy with specified ID ""%1"" not found.",Politica cu ID-ul specificat „%1” nu a fost găsită.
Unable to remove policy with ID %1. Error: %2,Imposibil de eliminat politica cu ID %1. Eroare: %2
Unable to remove policy. Error: %1,Imposibil de eliminat politica. Eroare: %1
Unable to save consentQueue with ID %1. Error: %2,Imposibil de salvat consentQueue cu ID %1. Eroare: %2
Unable to save new consentQueue. Error: %1,Nu se poate salva noua coadă de consimțământ. Eroare: %1
"ConsentQueue with specified ID ""%1"" not found.",ConsentQueue cu ID-ul specificat „%1” nu a fost găsit.
Unable to remove consentQueue with ID %1. Error: %2,Imposibil de eliminat consentQueue cu ID %1. Eroare: %2
Unable to remove consentQueue. Error: %1,Imposibil de eliminat consentQueue. Eroare: %1
Unable to save withConsent with ID %1. Error: %2,Nu se poate salva cu Consimțământ cu ID %1. Eroare: %2
Unable to save new withConsent. Error: %1,Imposibil de salvat nou cu Consimțământ. Eroare: %1
"WithConsent with specified ID ""%1"" not found.",WithConsent cu ID-ul specificat „%1” nu a fost găsit.
Unable to remove withConsent with ID %1. Error: %2,Imposibil de eliminat cu Consimțământ cu ID %1. Eroare: %2
Unable to remove withConsent. Error: %1,Imposibil de eliminat cu Consimțământ. Eroare: %1
Guest,Oaspete
Checkbox Location Option Group has empty name,Caseta de selectare Grupul de opțiuni de locație are un nume gol
Option Source with code %1 not implements OptionSourceInterface,Sursa opțiunii cu codul %1 nu implementează OptionSourceInterface
name,nume
Privacy Policy Popup,Politica de confidențialitate Popup
GDPR Privacy policy,Politica de confidențialitate GDPR
CMS Page,Pagina CMS
All Countries,Toate Țările
EEA Countries,Țările SEE
Specified Countries,Țări specificate
Accept,Accepta
Decline,Declin
Policy Confirmation Required,Este necesară confirmarea politicii
Privacy Checkbox,Caseta de selectare a confidențialității
%1 file extension is not supported,Extensia de fișier %1 nu este acceptată
Kindly be informed that Active or Disabled Privacy Policy cannot be amended. Please use the CLONE function to create a new Privacy Policy version and amend the text.,Vă rugăm să fiți informat că Politica de confidențialitate activă sau dezactivată nu poate fi modificată. Vă rugăm să utilizați funcția CLONARE pentru a crea o nouă versiune a Politicii de confidențialitate și pentru a modifica textul.
Current Password,Parola actuală
Read Privacy Policy,Citiți Politica de confidențialitate
Read Cookie Policy,Citiți Politica privind cookie-urile
Close,Aproape
Dear %customer_name,Stimate %customer_name
